id,name,image_path,starting_budget,used_budget,players
0,none,none,none,none,none
1,Alpine Knight Riders,images/kkr.jpeg,200000000,10000000,0
2,Alpine Super Kings,images/csk.jpeg,200000000,0,0
3,Alpine Avengers,images/avg.jpeg,200000000,7000000,0
4,Alpine Warriors,images/war.jpeg,200000000,0,0
5,GenZ Strikers,images/str.jpeg,200000000,0,0
6,Alpine Super Giants,images/lsg.jpeg,200000000,5000000,0
